category	number_of_genes	p_value	fdr	description
Keyword	41	1.2500000000000002e-66	8.42e-64	DNA repair
WikiPathways	34	1.55e-63	1.21e-60	DNA repair pathways, full network
Process	43	1.6200000000000003e-64	2.55e-60	DNA repair
NetworkNeighborAL	35	1.43e-62	6.520000000000001e-59	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
RCTM	37	1.56e-57	3.55e-54	DNA Repair
COMPARTMENTS	25	7.26e-50	1.67e-46	DNA repair complex
Component	24	3.7400000000000004e-49	7.66e-46	DNA repair complex
PMID	30	1.19e-51	5.21e-45	(2012) Exonuclease 1 (EXO1) gene variation and melanoma risk.
PMID	28	1.18e-49	2.5900000000000003e-43	(2019) DNA damage response and repair in perspective: Aedes aegypti, Drosophila melanogaster and Homo sapiens.
PMID	27	1.0299999999999999e-48	1.51e-42	(2017) Mechanisms of DNA damage, repair, and mutagenesis.
PMID	24	2.42e-46	2.66e-40	(2013) DNA repair mechanisms in dividing and non-dividing cells.
PMID	24	1.65e-45	1.45e-39	(2011) DNA repair deficiency in neurodegeneration.
PMID	25	4.07e-45	2.98e-39	(2014) DNA repair in cancer: emerging targets for personalized therapy.
Function	23	8.99e-43	4.43e-39	Damaged DNA binding
PMID	26	1.25e-44	7.84e-39	(2020) Focus on UV-Induced DNA Damage and Repair-Disease Relevance and Protective Strategies.
Process	27	4.98e-41	1.5600000000000002e-37	Double-strand break repair
Function	27	3.73e-40	9.2e-37	Catalytic activity, acting on DNA
Process	44	1.67e-39	4.35e-36	Nucleic acid metabolic process
PMID	23	2.7699999999999997e-41	1.5200000000000002e-35	(2019) DNA Damage Response Pathways in Dinoflagellates.
PMID	24	9.64e-40	4.7e-34	(2018) DNA Checkpoint and Repair Factors Are Nuclear Sensors for Intracellular Organelle Stresses-Inflammations and Cancers Can Have High Genomic Risks.
PMID	21	5.1e-39	2.23e-33	(2021) Targeting protein-protein interactions in the DNA damage response pathways for cancer chemotherapy.
PMID	22	3.02e-38	1.2e-32	(2021) DNA folds threaten genetic stability and can be leveraged for chemotherapy.
NetworkNeighborAL	22	5.33e-36	1.22e-32	DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)
PMID	20	4.96e-38	1.81e-32	(2017) Coordination of DNA single strand break repair.
NetworkNeighborAL	17	6.310000000000001e-35	7.220000000000001e-32	DNA repair complex
PMID	21	2.59e-37	8.740000000000001e-32	(2021) DNA Damage Response in Multiple Myeloma: The Role of the Tumor Microenvironment.
PMID	20	5.5700000000000004e-37	1.74e-31	(2011) Comprehensive screen of genetic variation in DNA repair pathway genes and postmenopausal breast cancer risk.
Process	18	1.08e-34	1.8900000000000001e-31	Double-strand break repair via nonhomologous end joining
PMID	21	1.03e-36	3.0200000000000004e-31	(2020) Acetylation and Deacetylation of DNA Repair Proteins in Cancers.
PMID	21	1.29e-36	3.54e-31	(2016) Balancing self-renewal against genome preservation in stem cells: How do they manage to have the cake and eat it too?
PMID	21	2e-36	5.15e-31	(2021) DNA damage repair: historical perspectives, mechanistic pathways and clinical translation for targeted cancer therapy.
PMID	21	1.56e-35	3.8e-30	(2019) Tissue specificity of DNA damage response and tumorigenesis.
PMID	19	2.47e-35	5.7099999999999994e-30	(2021) DNA Damage Repair: Predictor of Platinum Efficacy in Ovarian Cancer?
PMID	20	2.64e-35	5.8000000000000005e-30	(2020) The Therapeutic Potential of DNA Damage Repair Pathways and Genomic Stability in Lung Cancer.
PMID	18	3.73e-35	7.78e-30	(2010) Overview of DNA Repair in Trypanosoma cruzi, Trypanosoma brucei, and Leishmania major.
PMID	19	5.84e-35	1.1600000000000001e-29	(2018) Deoxyribonucleic Acid Damage and Repair: Capitalizing on Our Understanding of the Mechanisms of Maintaining Genomic Integrity for Therapeutic Purposes.
PMID	19	1.01e-34	1.9300000000000002e-29	(2018) Mutational signatures reveal the role of RAD52 in p53-independent p21-driven genomic instability.
PMID	18	1.08e-34	1.9800000000000002e-29	(2015) New paradigms in the repair of oxidative damage in human genome: mechanisms ensuring repair of mutagenic base lesions during replication and involvement of accessory proteins.
PMID	19	1.33e-34	2.3300000000000002e-29	(2020) DNA Damage: From Threat to Treatment.
PMID	18	1.5199999999999998e-34	2.57e-29	(2019) PARP Inhibitors in Prostate Cancer--The Preclinical Rationale and Current Clinical Development.
PMID	18	1.5199999999999998e-34	2.57e-29	(2018) The central role of DNA damage and repair in CAG repeat diseases.
Process	17	2.1700000000000002e-32	2.62e-29	Base-excision repair
PMID	18	7.66e-34	1.2e-28	(2011) Genetic variation in DNA repair pathway genes and melanoma risk.
PMID	18	1.4100000000000001e-33	2.13e-28	(2010) Molecular mechanisms of ultraviolet radiation-induced DNA damage and repair.
PMID	20	4.41e-33	6.45e-28	(2015) Modulation of DNA damage and repair pathways by human tumour viruses.
PMID	18	5.89e-33	8.33e-28	(2017) DNA damage related crosstalk between the nucleus and mitochondria.
PMID	18	5.89e-33	8.33e-28	(2014) DNA damage and its links to neurodegeneration.
PMID	17	7.85e-33	1.0300000000000001e-27	(2015) DNA repair and aging: the impact of the p53 family.
PMID	19	7.83e-33	1.0300000000000001e-27	(2021) Targeting the Interplay between HDACs and DNA Damage Repair for Myeloma Therapy.
PMID	18	7.74e-33	1.0300000000000001e-27	(2017) Chronic oxidative damage together with genome repair deficiency in the neurons is a double whammy for neurodegeneration: Is damage response signaling a potential therapeutic target?
PMID	17	7.85e-33	1.0300000000000001e-27	(2017) Non-homologous DNA end joining and alternative pathways to double-strand break repair.
PMID	17	7.85e-33	1.0300000000000001e-27	(2017) The multifaceted roles of PARP1 in DNA repair and chromatin remodelling.
PMID	16	1.57e-32	1.8100000000000002e-27	(2012) Pathways for repairing and tolerating the spectrum of oxidative DNA lesions.
PMID	18	1.71e-32	1.93e-27	(2017) Drugging the Cancers Addicted to DNA Repair.
PMID	16	2.4300000000000002e-32	2.6600000000000003e-27	(2011) An update on targeted gene repair in mammalian cells: methods and mechanisms.
PMID	19	3.34e-32	3.5700000000000005e-27	(2021) DNA Damage Repair in Brain Tumor Immunotherapy.
PMID	18	3.6700000000000005e-32	3.83e-27	(2019) Treatment May Be Harmful: MechanismsPredictionPrevention of Drug-Induced DNA Damage and Repair in Multiple Myeloma.
PMID	17	4.1300000000000004e-32	4.2100000000000006e-27	(2021) DNA End Joining: G0-ing to the Core.
WikiPathways	15	1.2200000000000001e-29	4.75e-27	Base excision repair
RCTM	20	6.48e-30	7.4e-27	DNA Double-Strand Break Repair
PMID	18	7.61e-32	7.580000000000001e-27	(2020) DNA repair fidelity in stem cell maintenance, health, and disease.
PMID	15	7.850000000000001e-32	7.650000000000001e-27	(2011) Tidying up loose ends: the role of polynucleotide kinasephosphatase in DNA strand break repair.
PMID	17	3.3e-31	3.15e-26	(2015) DNA damage and repair in plants - from models to crops.
PMID	16	3.85e-31	3.59e-26	(2016) The Response to Oxidative DNA Damage in Neurons: Mechanisms and Disease.
PMID	20	3.9400000000000004e-31	3.6e-26	(2010) The DNA damage response: making it safe to play with knives.
PMID	17	7.470000000000001e-31	6.680000000000001e-26	(2020) The Dark Side of UV-Induced DNA Lesion Repair.
PMID	17	7.470000000000001e-31	6.680000000000001e-26	(2015) DNA excision repair at telomeres.
PMID	16	7.810000000000001e-31	6.72e-26	(2019) Genetic Polymorphisms of DNA Repair Pathways in Sporadic Colorectal Carcinogenesis.
PMID	16	1.1000000000000001e-30	9.28e-26	(2019) Altering DNA Repair to Improve Radiation Therapy: Specific and Multiple Pathway Targeting.
PMID	17	2.09e-30	1.73e-25	(2020) Inhibition of DNA Repair in Cancer Therapy: Toward a Multi-Target Approach.
PMID	15	2.3599999999999998e-30	1.92e-25	(2017) Base excision repair of oxidative DNA damage: from mechanism to disease.
PMID	19	2.7699999999999997e-30	2.21e-25	(2020) Autophagy Roles in Genome Maintenance.
PMID	15	3.6199999999999995e-30	2.83e-25	(2014) Comprehensive analyses of DNA repair pathways, smoking and bladder cancer risk in Los Angeles and Shanghai.
PMID	16	4.03e-30	3.1e-25	(2013) Parkinsons disease: a complex interplay of mitochondrial DNA alterations and oxidative stress.
PMID	16	5.4899999999999995e-30	4.15e-25	(2013) An inverse switch in DNA base excision and strand break repair contributes to melphalan resistance in multiple myeloma cells.
PMID	16	1.0000000000000001e-29	7.44e-25	(2016) DNA repair targeted therapy: The past or future of cancer treatment?
PMID	14	1.2200000000000001e-29	8.92e-25	(2020) Druggable binding sites in the multicomponent assemblies that characterise DNA double-strand-break repair through non-homologous end joining.
PMID	18	1.29e-29	9.27e-25	(2022) Targeting PARP proteins in acute leukemia: DNA damage response inhibition and therapeutic strategies.
PMID	15	1.7800000000000001e-29	1.26e-24	(2009) DNA repair deficiency and neurological disease.
PMID	18	1.8400000000000002e-29	1.2799999999999999e-24	(2021) Mass spectrometry-based protein-protein interaction techniques and their applications in studies of DNA damage repair.
PMID	16	2.3600000000000002e-29	1.62e-24	(2017) Relevance of DNA repair gene polymorphisms to gastric cancer risk and phenotype.
KEGG	14	4.990000000000001e-27	1.68e-24	Base excision repair
PMID	16	3.11e-29	2.1e-24	(2020) Natural Compounds That Target DNA Repair Pathways and Their Therapeutic Potential to Counteract Cancer Cells.
Process	24	2.68e-27	2.63e-24	Response to radiation
PMID	15	7.53e-29	5e-24	(2021) Mechanisms of Genome Maintenance in Plants: Playing It Safe With Breaks and Bumps.
PMID	15	7.53e-29	5e-24	(2015) Recognition and repair of chemically heterogeneous structures at DNA ends.
PMID	15	7.53e-29	5e-24	(2012) Integration of DNA damage and repair with murine double-minute 2 (Mdm2) in tumorigenesis.
PMID	14	1.43e-28	9.09e-24	(2019) DNA Oxidation and Excision Repair Pathways.
PMID	14	1.43e-28	9.09e-24	(2014) Nonhomologous end joining: a good solution for bad ends.
PMID	14	1.43e-28	9.09e-24	(2009) Single nucleotide polymorphisms in DNA repair genes and prostate cancer risk.
PMID	19	1.86e-28	1.13e-23	(2020) The Chromatin Response to Double-Strand DNA Breaks and Their Repair.
Function	38	9.62e-27	1.19e-23	DNA binding
PMID	15	2.03e-28	1.2199999999999999e-23	(2012) Genetic variability in DNA repair and cell cycle control pathway genes and risk of smoking-related lung cancer.
PMID	19	2.11e-28	1.2499999999999999e-23	(2021) Unboxing the molecular modalities of mutagens in cancer.
PMID	18	2.11e-28	1.2499999999999999e-23	(2014) Emergence and evolutionary analysis of the human DDR network: implications in comparative genomics and downstream analyses.
PMID	16	3.07e-28	1.7699999999999998e-23	(2020) Evolving insights: how DNA repair pathways impact cancer evolution.
RCTM	14	2.5600000000000002e-26	1.9499999999999997e-23	Resolution of Abasic Sites (AP sites)
PMID	15	5.16e-28	2.94e-23	(2011) DNA repair: the culprit for tumor-initiating cell survival?
PMID	14	5.19e-28	2.94e-23	(2011) Oxidative genome damage and its repair in neurodegenerative diseases: function of transition metals as a double-edged sword.
PMID	14	5.19e-28	2.94e-23	(2010) Functions of disordered regions in mammalian early base excision repair proteins.
PMID	14	5.19e-28	2.94e-23	(2012) Resolution of complex ends by Nonhomologous end joining - better to be lucky than good?
Process	20	3.26e-26	3.0099999999999995e-23	DNA recombination
PMID	15	6.9499999999999995e-28	3.76e-23	(2020) Cooperation and interplay between base and nucleotide excision repair pathways: From DNA lesions to proteins.
DISEASES	13	8.240000000000001e-27	3.7899999999999995e-23	Xeroderma pigmentosum
PMID	14	1.6900000000000003e-27	9.009999999999999e-23	(2018) DNA damage repair in ovarian cancer: unlocking the heterogeneity.
Component	43	9e-26	9.209999999999999e-23	Nucleoplasm
PMID	13	1.8400000000000002e-27	9.7e-23	(2017) Systematic analysis of DNA damage induction and DNA repair pathway activation by continuous wave visible light laser micro-irradiation.
PMID	16	1.8400000000000002e-27	9.7e-23	(2015) Potential relationship between inadequate response to DNA damage and development of myelodysplastic syndrome.
PMID	15	2.1600000000000003e-27	1.11e-22	(2012) Base excision repair in physiology and pathology of the central nervous system.
PMID	14	2.4400000000000003e-27	1.2500000000000001e-22	(2015) DNA repair mechanisms and human cytomegalovirus (HCMV) infection.
PMID	14	2.4400000000000003e-27	1.2500000000000001e-22	(2011) Metabolism, genomics, and DNA repair in the mouse aging liver.
PMID	17	2.8e-27	1.4000000000000002e-22	(2021) Crosstalk between autophagy and DNA repair systems.
PMID	16	3.42e-27	1.68e-22	(2020) DNA Repair and Ovarian Carcinogenesis: Impact on Risk, Prognosis and Therapy Outcome.
PMID	14	4.990000000000001e-27	2.43e-22	(2020) The involvement of nucleotide excision repair proteins in the removal of oxidative DNA damage.
PMID	13	5.1e-27	2.46e-22	(2020) Targeting Base Excision Repair in Cancer: NQO1-Bioactivatable Drugs Improve Tumor Selectivity and Reduce Treatment Toxicity Through Radiosensitization of Human Cancer.
NetworkNeighborAL	13	4.54e-25	2.5600000000000003e-22	Base excision repair, and DNA topological change
NetworkNeighborAL	12	4.48e-25	2.5600000000000003e-22	Nonhomologous end joining complex, and Mismatch repair complex
PMID	16	7.55e-27	3.6000000000000003e-22	(2009) Family cancer syndromes: inherited deficiencies in systems for the maintenance of genomic integrity.
PMID	13	8.240000000000001e-27	3.8900000000000003e-22	(2011) Variation in base excision repair capacity.
PMID	14	9.83e-27	4.58e-22	(2010) Structural dynamics in DNA damage signaling and repair.
PMID	14	9.83e-27	4.58e-22	(2014) Inter-individual variation in DNA repair capacity: a need for multi-pathway functional assays to promote translational DNA repair research.
PMID	14	9.83e-27	4.58e-22	(2014) DNA-PK: a dynamic enzyme in a versatile DSB repair pathway.
PMID	14	9.83e-27	4.58e-22	(2017) Non-bulky Lesions in Human DNA: the Ways of Formation, Repair, and Replication.
PMID	15	1.02e-26	4.58e-22	(2020) Base Excision Repair in the Immune System: Small DNA Lesions With Big Consequences.
PMID	16	1.33e-26	5.8e-22	(2021) A Link between Replicative Stress, Lamin Proteins, and Inflammation.
PMID	13	1.31e-26	5.8e-22	(2021) Searching for DNA Damage: Insights From Single Molecule Analysis.
COMPARTMENTS	44	6.49e-25	7.47e-22	Nucleus
NetworkNeighborAL	11	2.08e-24	9.52e-22	Nonhomologous end joining complex
Process	14	3.3899999999999996e-24	2.95e-21	Nucleotide-excision repair
Keyword	44	4.38e-23	9.82e-21	Nucleus
WikiPathways	14	1.05e-22	2.72e-20	Nucleotide excision repair in xeroderma pigmentosum 
Process	45	4.0699999999999996e-23	3.36e-20	Macromolecule metabolic process
RCTM	15	1.69e-22	7.72e-20	Nucleotide Excision Repair
NetworkNeighborAL	11	2.46e-22	1.02e-19	Base excision repair
RCTM	14	3.78e-22	1.44e-19	Global Genome Nucleotide Excision Repair (GG-NER)
NetworkNeighborAL	10	3.1500000000000004e-21	1.2e-18	APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway, and PNK, FHA domain
COMPARTMENTS	10	1.35e-20	1.04e-17	Nucleotide-excision repair complex
Function	39	1.34e-20	1.33e-17	Nucleic acid binding
Process	45	1.95e-20	1.53e-17	Nitrogen compound metabolic process
WikiPathways	9	7.98e-20	1.56e-17	Non-homologous end joining
Component	9	4.2e-20	1.66e-17	Nonhomologous end joining complex
Component	46	1.58e-19	3.7e-17	Nucleus
Component	9	1.45e-19	3.7e-17	Nucleotide-excision repair complex
KEGG	9	2.53e-19	4.25e-17	Non-homologous end-joining
WikiPathways	11	3.34e-19	5.22e-17	Nucleotide excision repair
KEGG	11	5.14e-19	5.76e-17	Nucleotide excision repair
Process	44	1.31e-19	9.78e-17	Cellular response to stimulus
Process	25	1.54e-19	1.09e-16	Response to abiotic stimulus
Keyword	12	1.12e-18	1.88e-16	DNA recombination
Process	45	5.26e-19	3.59e-16	Primary metabolic process
Process	9	7.01e-19	4.4e-16	Base-excision repair, gap-filling
Process	14	8.06e-19	4.86e-16	Response to UV
COMPARTMENTS	9	1.75e-18	1e-15	Nonhomologous end joining complex
Component	12	2.5e-17	5.12e-15	Site of DNA damage
Process	8	1.96e-17	1.1e-14	DNA ligation
RCTM	10	1.36e-16	4.45e-14	Nonhomologous End-Joining (NHEJ)
Process	10	1.62e-16	8.49e-14	Somatic diversification of immune receptors
DISEASES	27	6.05e-17	1.39e-13	Autosomal recessive disease
Process	15	4.95e-16	2.5e-13	Response to light stimulus
Process	11	5.16e-16	2.53e-13	DNA biosynthetic process
COMPARTMENTS	7	7.83e-16	3.6e-13	DNA ligase IV complex
Process	14	9.75e-16	4.63e-13	Nucleic acid phosphodiester bond hydrolysis
Process	12	1.1e-15	4.93e-13	Response to ionizing radiation
RCTM	9	2.49e-15	7.1e-13	Formation of Incision Complex in GG-NER
Process	9	2.05e-15	8.94e-13	Somatic diversification of immunoglobulins
RCTM	10	6.53e-15	1.54e-12	Transcription-Coupled Nucleotide Excision Repair (TC-NER)
RCTM	8	6.07e-15	1.54e-12	Resolution of AP sites via the multiple-nucleotide patch replacement pathway
COMPARTMENTS	7	4.41e-15	1.69e-12	XPC complex
Function	40	2.37e-15	1.95e-12	Heterocyclic compound binding
Function	40	3.74e-15	2.63e-12	Organic cyclic compound binding
Component	22	1.77e-14	3.29e-12	Nuclear protein-containing complex
Process	12	5.74e-14	2.31e-11	DNA replication
Process	16	5.89e-14	2.31e-11	Regulation of DNA metabolic process
NetworkNeighborAL	6	1.04e-13	3.67e-11	PNK, FHA domain, and Resolution of AP sites via the single-nucleotide replacement pathway
COMPARTMENTS	19	1.35e-13	3.89e-11	Chromosome
RCTM	8	1.92e-13	3.98e-11	Dual Incision in GG-NER
Component	24	2.48e-13	4.23e-11	Chromosome
Component	9	2.85e-13	4.48e-11	Site of double-strand break
COMPARTMENTS	24	2.48e-13	6.33e-11	Nuclear lumen
RCTM	6	3.37e-13	6.42e-11	POLB-Dependent Long Patch Base Excision Repair
WikiPathways	9	5.41e-13	7.04e-11	DNA IR-damage and cellular response via ATR
Process	19	1.84e-13	7.05e-11	Chromosome organization
Process	8	1.92e-13	7.16e-11	Somatic diversification of immune receptors via germline recombination within a single locus
Process	11	6.12e-13	2.18e-10	Cellular response to radiation
Component	10	1.86e-12	2.72e-10	Chromosome, telomeric region
COMPARTMENTS	9	1.31e-12	2.73e-10	Site of DNA damage
Function	7	4.52e-13	2.78e-10	DNA-directed DNA polymerase activity
Keyword	9	2.67e-12	3.58e-10	DNA replication
RCTM	6	2.07e-12	3.64e-10	HDR through MMEJ (alt-NHEJ)
Process	6	1.38e-12	4.82e-10	Single strand break repair
Process	8	1.61e-12	5.48e-10	Response to gamma radiation
RCTM	6	4.31e-12	7.03e-10	Early Phase of HIV Life Cycle
