category	number_of_genes	p_value	fdr	description
Function	70	6.12e-23	4.31e-20	Heterocyclic compound binding
Function	70	1.32e-22	8.13e-20	Organic cyclic compound binding
Function	65	2.41e-28	2.38e-25	Nucleic acid binding
Function	63	3.98e-38	9.820000000000001e-35	DNA binding
WikiPathways	40	2.27e-62	8.88e-60	DNA repair pathways, full network
WikiPathways	38	9.450000000000001e-64	7.379999999999999e-61	DNA IR-damage and cellular response via ATR
HPO	38	1.07e-12	4.28e-11	Abnormal skeletal morphology
HPO	37	3.75e-14	1.68e-12	Growth abnormality
HPO	36	6.95e-13	2.84e-11	Abnormality of the integument
HPO	35	1.92e-14	8.72e-13	Abnormality of the skin
HPO	35	3.11e-17	1.8e-15	Growth delay
HPO	35	1.78e-12	7.04e-11	Abnormal axial skeleton morphology
HPO	34	7.12e-19	4.86e-17	Abnormality of body height
HPO	34	1.18e-18	7.88e-17	Decreased body weight
HPO	33	1.73e-14	7.92e-13	Abnormality of skin morphology
Function	33	1.01e-40	5.01e-37	Catalytic activity, acting on DNA
HPO	33	5.74e-19	3.96e-17	Short stature
HPO	33	1.01e-11	3.82e-10	Abnormal eye morphology
HPO	32	1.01e-12	4.08e-11	Abnormal cerebral morphology
DISEASES	32	9.99e-13	3.28e-10	Autosomal recessive disease
HPO	32	9.77e-16	4.88e-14	Abnormality of the gastrointestinal tract
HPO	32	5.76e-16	2.94e-14	Abnormality of the genital system
HPO	32	1.09e-11	4.12e-10	Abnormal skull morphology
HPO	31	1.41e-15	6.9e-14	Aplasia/Hypoplasia of the cerebrum
HPO	31	5.08e-28	1.29e-25	Intrauterine growth retardation
HPO	31	1.69e-22	1.83e-20	Neoplasm by anatomical site
HPO	31	3.76e-14	1.68e-12	Abnormality of the nose
HPO	31	1.24e-15	6.11e-14	Abnormality of connective tissue
HPO	30	6.09e-18	3.77e-16	Abnormal facial shape
HPO	30	2.88e-18	1.84e-16	Abnormality of the male genitalia
HPO	30	8.56e-17	4.75e-15	Microcephaly
HPO	30	1.04e-16	5.72e-15	Decreased head circumference
HPO	30	2.15e-13	8.95e-12	Abnormality of limb bone morphology
HPO	30	5.22e-12	2.01e-10	Intellectual disability
HPO	30	6.73e-12	2.57e-10	Abnormality of the vasculature
Function	30	3.73e-13	1.08e-10	ATP binding
HPO	30	4.81e-13	1.98e-11	Abnormality of the lower limb
HPO	29	2e-13	8.37e-12	Abnormality of immune system physiology
HPO	29	4.37e-16	2.29e-14	Abnormal facial skeleton morphology
HPO	29	1.63e-14	7.47e-13	Abnormal ocular adnexa morphology
HPO	29	7.34e-17	4.09e-15	Aplasia/hypoplasia involving the skeleton
HPO	29	3.24e-14	1.46e-12	Abnormality of the vertebral column
HPO	29	3.97e-20	3.17e-18	Localized skin lesion
HPO	28	2.83e-20	2.35e-18	Micrognathia
HPO	28	1.07e-14	4.95e-13	Abnormality of the upper urinary tract
HPO	28	5.4e-16	2.77e-14	Abnormality of the curvature of the vertebral column
HPO	28	1.81e-16	9.83e-15	Abnormality of male external genitalia
HPO	28	2.45e-13	1.01e-11	Abnormal foot morphology
HPO	28	2.94e-20	2.41e-18	Aplasia/Hypoplasia of the mandible
HPO	28	1.15e-13	4.92e-12	Abnormality of blood and blood-forming tissues
HPO	28	5.65e-24	7.25e-22	Abnormal cellular physiology
HPO	28	3.17e-17	1.82e-15	Abnormal hand morphology
HPO	28	3.31e-29	1.01e-26	Hyperpigmentation of the skin
HPO	28	5.21e-20	4.03e-18	Abnormal long bone morphology
HPO	28	1.61e-15	7.84e-14	Abnormal pinna morphology
HPO	27	3.81e-19	2.7e-17	Abnormality of reproductive system physiology
HPO	27	6.15e-24	7.810000000000001e-22	Abnormality of the female genitalia
HPO	27	3.47e-17	1.99e-15	Abnormal testis morphology
